id	1CMET2-PWY: folate transformations III (E. coli)	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	ARO-PWY: chorismate biosynthesis I	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	CALVIN-PWY: Calvin-Benson-Bassham cycle	COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	COA-PWY: coenzyme A biosynthesis I (prokaryotic)	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	GLUTORN-PWY: L-ornithine biosynthesis I	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	HISTSYN-PWY: L-histidine biosynthesis	HSERMETANA-PWY: L-methionine biosynthesis III	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	NONMEVIPP-PWY: methylerythritol phosphate pathway I	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	PANTO-PWY: phosphopantothenate biosynthesis I	PENTOSE-P-PWY: pentose phosphate pathway	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	PWY-1042: glycolysis IV	PWY-2942: L-lysine biosynthesis III	PWY-3001: superpathway of L-isoleucine biosynthesis I	PWY-3841: folate transformations II (plants)	PWY-4041: &gamma;-glutamyl cycle	PWY-5097: L-lysine biosynthesis VI	PWY-5100: pyruvate fermentation to acetate and lactate II	PWY-5103: L-isoleucine biosynthesis III	PWY-5384: sucrose degradation IV (sucrose phosphorylase)	PWY-5667: CDP-diacylglycerol biosynthesis I	PWY-5686: UMP biosynthesis I	PWY-5695: inosine 5'-phosphate degradation	PWY-5941: glycogen degradation II	PWY-5973: cis-vaccenate biosynthesis	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	PWY-6123: inosine-5'-phosphate biosynthesis I	PWY-6124: inosine-5'-phosphate biosynthesis II	PWY-6151: S-adenosyl-L-methionine salvage I	PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	PWY-6317: D-galactose degradation I (Leloir pathway)	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	PWY-6608: guanosine nucleotides degradation III	PWY-6609: adenine and adenosine salvage III	PWY-6700: queuosine biosynthesis I (de novo)	PWY-6703: preQ0 biosynthesis	PWY-6936: seleno-amino acid biosynthesis (plants)	PWY-7111: pyruvate fermentation to isobutanol (engineered)	PWY-7199: pyrimidine deoxyribonucleosides salvage	PWY-7221: guanosine ribonucleotides de novo biosynthesis	PWY-7237: myo-, chiro- and scyllo-inositol degradation	PWY-7238: sucrose biosynthesis II	PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	PWY-7663: gondoate biosynthesis (anaerobic)	PWY-7790: UMP biosynthesis II	PWY-7791: UMP biosynthesis III	PWY-7851: coenzyme A biosynthesis II (eukaryotic)	PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	PWY-7977: L-methionine biosynthesis IV	PWY-8178: pentose phosphate pathway (non-oxidative branch) II	PWY0-1296: purine ribonucleosides degradation	PWY0-1319: CDP-diacylglycerol biosynthesis II	PWY0-1477: ethanolamine utilization	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	PWY66-429: fatty acid biosynthesis initiation (mitochondria)	PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	THRESYN-PWY: superpathway of L-threonine biosynthesis	TRNA-CHARGING-PWY: tRNA charging	UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	VALSYN-PWY: L-valine biosynthesis
magic.0001	3e-10	0.0	0.0	0.0	6.957e-07	1.0	0.9618600118	0.9998190749	1.7e-09	0.0016923966	1.02e-08	0.0325381108	1.0	0.0	0.9695638522	0.0	0.0	0.968013348	0.0	1.0	0.0	0.9986949914	0.4836472523	0.8820204933	0.8495046305	0.0	0.0	0.002749956	1.0	0.0	0.0	0.9497850812	0.0	0.9999901211	0.0015860618	1.0	0.9999889203	0.9618128095	0.9923639658	0.9982403439	0.0396296492	0.0333141912	0.0	4.97e-07	0.9982403439	5e-09	0.8820204933	0.8280441714	0.9824463624	1.0	0.9999965199	8.969e-07	1.8e-09	0.3109500929	1.0	0.012057557	3.9871e-06	0.0	0.9999833806	0.0	0.9969929888	0.0015860618	0.0015860618	1.4e-09	0.7822685536	1.0	0.836197839	1.0	0.9999901211	1.0	1.0	0.9447928657	0.0	6.47397e-05	0.0497563371	0.9951394994	0.0141781136	1.0
magic.0004	0.0	2.7182e-06	1.766e-07	0.0	7e-10	1.0	0.2008366432	0.9953807318	0.0	0.0	0.0	1.935e-07	1.0	3.91e-08	0.0047126426	0.0	0.0	0.2316973098	0.0	1.0	0.0	0.9562660652	0.9999507095	0.65148228	0.9998002198	0.0	0.0	0.0532224192	0.9999999955	0.0	0.0	0.1585901613	1.67347e-05	0.9422763741	0.1644583877	1.0	0.9999999897	0.9925070757	0.2070907825	0.9645319253	2.543e-07	2.119e-07	0.0	5e-10	0.9645319253	4e-10	0.65148228	0.6265458022	0.8657956443	1.0	0.61266039	0.0012233768	0.0	0.0009542107	1.0	0.0067899594	0.0001710013	0.0	0.9999999846	0.0	1.0	0.1644583877	0.1644583877	0.0	0.5668194524	1.0	0.9999673919	1.0	0.9422763741	1.0	1.0	0.0179887343	2.7091e-06	0.0007153749	0.0007905266	0.9880027827	0.9600165696	1.0
magic.0006	0.0179722454	0.804365993	0.0	0.0	0.4338249954	0.0	3.39e-08	0.6016236211	0.0445846057	0.0668647795	0.0243336736	0.6423718299	0.9999246968	0.0	0.693618212	0.0	0.0	2.71e-08	0.0	0.9999999999	1e-10	1.95004e-05	0.9981853226	0.8467213909	0.0372315037	1.388e-07	5.91e-08	0.4996595612	0.4021728026	5.394e-07	0.0328899077	1.43711e-05	3.58817e-05	0.4886948997	0.0057642043	0.9538579646	0.0012913341	0.9999996221	0.4721428347	0.5282235688	0.1287313134	0.0169977214	0.0643608456	0.4285472128	0.5282235688	0.4428559354	0.8421667547	0.8214644118	0.8359929256	0.1234482927	0.9325902978	0.5444430294	0.0	0.1274683584	1.69e-08	0.0012203198	0.98642386	0.0	0.000862637	7.706e-07	0.9999995277	0.0424264426	0.035471661	0.035988707	0.7424115758	9.26e-08	0.9999843929	0.938566903	0.4886948997	0.9999999988	0.9690517959	0.9368924058	0.0	0.1312514258	0.0541166192	0.2682992276	0.8479080083	0.5183713394
magic.0007	1.5627e-06	0.0	0.0	0.0	0.9988928529	1.0	1.0	1.0	0.0	0.0	0.9460767263	1.0	0.9999999677	0.0	0.9999999838	0.0	0.0	1.0	1.45e-08	1.0	0.0	0.9999999119	1.6e-09	1.0	1.0	0.0	0.0	0.5362167413	6.41885e-05	4e-10	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.9231288468	0.9999753633	1.0	0.0807757567	0.0682317086	0.0	0.9984506801	1.0	0.0	1.0	0.9999999991	1.0	1.0	1.0	0.0	0.0001820345	0.0	1.0	0.6147408694	0.0001407034	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.1e-09	2.509e-07	1.0	0.6927399239	1.0	0.9999514396	0.0	0.0	0.9896041782	1.0	0.0	1.0
magic.0008	0.0	1.0	0.0	0.0	0.2693422173	0.4726466084	0.8847410665	0.9999985348	1.6e-08	4.47197e-05	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.1178e-06	0.9999934066	0.0	0.0	0.0	0.6784157413	1.0	0.0714685171	0.0	1.0	0.0	0.0823984541	1.0	1.0	0.0	0.9997101771	1.0	1.0	1.0	0.0	1.0	1.0	0.1470869598	0.1256527807	0.0	0.2084267632	1.0	0.999999977	0.6784157413	3.1304e-05	0.681479998	1.0	1.0	0.9999761007	0.9940382593	0.0	0.9999999998	1.0	1.0	0.0	1.0	0.0	0.6737319339	1.0	1.0	1.28e-08	0.9999789028	0.9997298411	0.9999947253	1.0	0.9997101771	1.07124e-05	1.0	1.0	0.0	0.0	0.0	1.0	0.0089262832	1.0
magic.0010	0.0032675005	0.0	0.0	0.0	0.995711384	1e-10	1.0	0.0358252987	0.0936629376	0.9966065237	2e-09	1.0	1.0	0.0	1.0	2.7189e-06	0.0	1.0	0.8893909983	0.0122339563	0.0	1.0	0.0	1.0	0.9993197294	0.0012466138	0.0	1.0	0.0	0.0014540701	0.0	1.0	0.0	0.9999999869	0.5342969862	1.0	0.0	1.0	0.8991795859	1.0	0.9912910683	0.9895674532	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.999988782	1.0	0.2092206842	0.9998817163	0.0	1.0	1.0	0.9999219288	0.0	0.0	0.0	1.0	0.5342969862	0.5342969862	0.0763607852	1.0	1.0	0.0152458029	2.072e-07	0.9999999869	0.0	1.0	0.9999850022	0.0	0.9995945091	3e-10	0.9999988478	0.0	1.0
magic.0011	0.0	0.807543066	2.72e-08	1.01e-08	0.9999921901	0.0	1.0	0.0	0.0	0.0	0.9999922401	1.0	0.8731591651	5.7e-09	0.9110931969	0.9853074739	0.0022769323	1.0	0.999812882	0.0	0.9999998669	0.0	0.0	0.9999852705	0.9999999989	0.9975280327	0.1653301342	0.9999999618	0.9999816604	0.9978804067	0.9999998669	1.0	0.9646386646	0.0	0.0024133377	0.0	0.976361226	0.0	0.0	0.9773984783	0.0	0.0	0.0093133609	0.9999989197	0.9773984783	0.0	0.1401527601	0.9999998815	0.9999998578	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.9999999997	0.0	1.0	0.0902014303	0.0002972961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0606167587	0.0	0.9996005412	0.999999922	0.9632563479	0.0	0.9602001254	1.0
magic.0012	0.0	0.9009898565	0.0	0.0	0.9999420282	1.0	0.9977772764	1.0	0.0	0.0	1.171e-07	0.0	0.9999910317	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.9966198713	0.980528368	0.938169556	0.0	0.0	0.0601851438	0.0	0.0	0.9966444014	1.0	6.9e-09	1.0	0.0	1.0	0.9999985053	0.0	1.0	1.0	1.7673e-06	1.8e-09	0.0	0.9999188413	1.0	0.921169653	0.980528368	0.8978117608	1.0	1.0	0.9999999985	0.1110138225	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.9999994756	0.0	1.0
magic.0013	0.0	0.9631981001	2.422e-07	3.70757e-05	0.9999939592	0.0592149329	0.9500085749	0.0102910694	0.5540302456	0.997115557	0.7461600121	0.9998574322	0.0	5.05e-08	0.0	0.3052722782	0.0	0.99622485	0.0	0.0632559123	0.0	0.0007828542	0.0004597378	0.9957017657	0.0075726986	0.999992993	0.6866407797	1.0	0.0	0.9623672865	0.0116745564	0.9939734108	0.9870688801	0.0033065607	0.9999999453	1.0	1.41e-08	0.9999985391	1.0	1.0	1.0	0.8600559225	1.0	0.999991543	1.0	0.6057373106	0.9956156704	0.9999999998	0.9999999997	0.0	1.0	0.9995066082	0.8559350243	0.9999999922	0.9939734108	1.0	1.0	1.6e-09	9.4e-09	0.5238372262	0.9999981739	0.9999999453	0.9999999453	0.4985041944	0.9619841337	0.0	0.0778389469	0.999999981	0.0076086584	3.2e-09	1.0	1.0	0.0	0.0	0.9542069722	0.999657416	1.0	1.0
magic.0014	0.0	0.0	0.997441539	0.0	0.0	0.8994724883	1.0	0.0056638947	0.0	0.0	0.0	0.8257923889	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.3915318994	0.9999999869	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.4517940308	0.0	0.0	1.0
